	GSM3001089	GSM3001090	GSM3001091	GSM3001092	GSM3001093	GSM3001094
PPP1R1B	9	9	10	6	9	5
STARD3	4730	3806	3540	4317	3387	3618
TCAP	28	31	34	43	51	46
PNMT	21	81	74	24	62	62
PGAP3	1017	700	661	816	616	669
ERBB2	209	145	164	231	124	121
MIR4728	4	0	1	3	2	0
MIEN1	3567	2095	1981	3171	2141	2269
GRB7	5	22	28	19	12	20
IKZF3	2	3	1	4	11	4
ZPBP2	0	1	0	0	1	0
GSDMB	439	247	216	501	265	337
ORMDL3	3276	2045	1998	3431	2130	2285
LRRC3C	40	27	14	50	24	22
LOC112268187	7	6	5	6	3	5
GSDMA	1	4	1	0	4	3
PSMD3	11024	5621	5937	13698	6467	7365
CSF3	14	4	2	89	75	81
MED24	5125	2284	2177	5883	2506	2755
MIR6884	10	5	1	2	2	4
SNORD124	6	2	4	16	3	8
THRA	4379	3525	3319	3630	2948	2980
NR1D1	306	365	329	286	370	375
MSL1	10989	6624	5796	10441	6353	6846
CASC3	8158	4988	4944	7693	4619	5023
MIR6866	0	1	0	2	0	1
RAPGEFL1	414	227	173	380	195	243
MIR6867	0	1	1	0	2	2
WIPF2	5664	3487	3161	6706	3625	3964
CDC6	2810	609	773	5122	826	1046
RARA	2677	1977	1866	2430	1742	1914
LOC105371934	60	45	31	59	38	50
RARA-AS1	417	253	256	302	219	245
GJD3	1439	1584	1606	4589	3626	4018
TOP2A	30517	4683	7443	33972	4881	6842
IGFBP4	41939	22223	22608	36015	19043	20040
LOC107985064	138	110	88	95	85	92
TNS4	0	3	2	0	1	2
LOC105371773	0	0	0	1	3	0
LOC101059954	0	0	0	4	0	0
LOC107985090	1	2	0	1	0	1
CCR7	14	23	10	22	14	18
SMARCE1	16379	10324	10424	13166	9185	9180
KRT222	131	69	93	80	70	70
LOC105371775	2	6	5	0	6	2
KRT24	2	1	2	2	1	1
KRT25	1	5	1	1	0	1
KRT26	1	0	0	0	1	0
KRT27	0	1	0	0	0	1
KRT28	0	1	0	0	1	0
LOC105371776	1	3	0	2	1	2
KRT10	567	293	314	464	250	259
KRT10-AS1	530	213	217	409	225	214
LOC105371777	5	2	2	0	1	1
KRT12	3	2	0	2	3	0
KRT20	0	5	3	0	1	2
KRT23	27	85	58	5	36	18
LOC107985072	2	4	3	0	3	2
KRT39	0	1	2	1	1	1
KRT40	0	1	0	1	1	1
KRTAP3-3	0	3	0	0	0	1
KRTAP3-2	0	1	1	1	1	1
KRTAP3-1	0	0	0	0	0	1
KRTAP1-5	0	0	1	0	1	0
KRTAP1-4	0	0	0	0	0	0
KRTAP1-3	0	0	0	0	0	0
KRTAP1-1	0	0	0	0	0	0
KRTAP2-1	0	0	0	0	4	0
KRTAP2-2	0	0	0	0	0	0
KRTAP2-3	0	2	0	0	1	0
KRTAP2-4	0	2	0	0	3	1
KRTAP4-7	0	1	0	0	0	0
KRTAP4-8	0	1	0	0	1	0
KRTAP4-9	0	1	0	0	1	1
KRTAP4-11	0	0	0	0	2	0
KRTAP4-12	0	1	0	0	0	0
KRTAP4-6	0	2	0	0	0	1
KRTAP4-5	0	2	0	0	1	1
KRTAP4-4	0	1	0	0	0	0
KRTAP4-3	0	0	0	0	0	0
KRTAP4-2	0	0	2	0	0	1
KRTAP4-1	0	1	1	0	0	0
KRTAP9-1	0	0	0	0	0	0
KRTAP9-2	0	0	0	0	1	0
KRTAP9-3	0	0	0	0	1	1
KRTAP9-8	0	0	0	0	1	0
KRTAP9-4	0	0	0	0	0	0
KRTAP9-9	0	1	0	0	1	0
KRTAP9-6	0	0	0	0	0	0
KRTAP9-7	0	0	0	0	0	0
KRTAP29-1	0	1	0	0	0	0
KRTAP16-1	0	4	0	0	2	1
KRTAP17-1	0	0	0	0	2	1
KRT33A	0	1	1	0	0	0
LOC105371778	0	1	0	0	2	0
KRT33B	0	0	0	1	0	1
KRT34	0	1	0	0	1	0
KRT31	0	3	0	0	2	0
LOC100505782	0	2	0	0	1	1
KRT37	0	1	0	0	0	0
KRT38	0	5	0	0	0	1
KRT32	0	8	1	0	2	4
KRT35	1	1	1	0	2	1
KRT36	27	33	41	22	40	38
KRT13	0	0	1	1	3	2
KRT15	22	36	29	30	32	32
MIR6510	1	1	3	1	1	1
KRT19	30	58	37	29	36	21
LINC00974	0	1	0	0	3	0
KRT9	1	10	0	1	4	5
KRT14	0	3	2	0	4	0
KRT16	1	2	0	0	4	2
KRT17	1	1	0	9	6	9
KRT42P	1	3	0	0	7	4
EIF1	9500	10694	10157	8060	7086	9071
GAST	0	0	0	0	0	0
HAP1	35	20	27	37	14	31
JUP	80441	69876	64008	63822	52062	57632
P3H4	3570	1976	1915	2750	1982	2063
FKBP10	22107	15581	14380	17716	14725	14822
NT5C3B	4562	2957	2912	3564	2631	2544
KLHL10	27	14	15	32	21	25
KLHL11	4578	2649	2597	3705	2539	2400
ACLY	35700	19422	19668	47498	24316	26882
ODAD4	31	26	22	53	46	37
CNP	11820	6866	6943	52921	23304	26385
DNAJC7	8093	3806	3926	9106	4499	4602
NKIRAS2	4325	3243	3070	4729	3580	3997
ZNF385C	116	102	92	136	106	101
C17orf113	23	17	22	19	26	27
DHX58	416	240	279	8938	4580	5063
KAT2A	2477	1247	1134	3776	1758	1907
HSPB9	12	8	9	19	9	13
RAB5C	14205	9317	9209	16069	10653	11314
RAB5C-AS1	169	140	117	141	144	107
KCNH4	46	30	31	49	56	37
HCRT	5	1	5	2	4	5
GHDC	2078	1444	1437	2182	1459	1495
STAT5B	8312	5573	5262	7707	5712	6146
STAT5A	4705	3494	3231	6664	4803	5100
STAT3	21263	14463	14327	32902	24172	24636
CAVIN1	105844	62252	62557	80055	51659	53674
LOC102725238	184	184	216	178	158	163
ATP6V0A1	1899	1519	1457	2084	1357	1561
MIR548AT	2	2	1	1	0	1
MIR5010	21	25	19	27	18	23
NAGLU	3839	3024	2866	3450	2744	2977
HSD17B1-AS1	1002	550	497	1036	543	550
HSD17B1	425	253	224	388	249	271
COASY	2943	2073	1956	4060	2165	2760
MLX	4271	3721	3324	4348	3327	3648
PSMC3IP	790	496	462	1004	445	514
RETREG3	9740	5637	5597	11149	6646	7001
TUBG1	4595	1706	1810	5853	1972	2145
TUBG2	1893	942	906	2038	954	1107
PLEKHH3	1433	758	788	1519	928	1035
CCR10	127	68	86	379	165	158
CNTNAP1	6752	4050	3914	8880	4493	5609
EZH1	4589	3506	3008	3749	3189	3378
MIR6780A	1	2	1	5	1	2
RAMP2-AS1	721	773	587	565	671	634
RAMP2	4880	5335	4639	3224	3741	3620
VPS25	4185	2646	2631	4591	2852	3129
WNK4	652	286	299	1267	405	582
COA3	3220	1715	1725	2820	1891	1839
CNTD1	1596	1005	1068	1578	1038	1147
BECN1	7572	4921	5223	7429	5342	5849
MIR6781	2	2	1	7	4	5
LOC107985007	10	5	7	3	5	2
PSME3	7599	3764	3771	8860	4336	4450
AOC2	77	49	39	91	55	56
AOC3	57	28	13	70	14	28
AOC4P	5	0	0	1	0	0
LINC00671	0	1	0	0	0	0
G6PC1	0	3	2	0	2	0
PTGES3L-AARSD1	760	490	488	745	426	497
AARSD1	752	483	484	738	424	494
PTGES3L	23	15	9	17	11	8
RUNDC1	1556	1085	978	1658	1196	1326
RPL27	48066	30056	31541	44565	28473	29648
IFI35	788	615	662	21745	14059	15828
VAT1	44990	32209	30179	25633	21150	21196
RND2	94	58	71	86	47	56
BRCA1	2235	814	958	3287	792	878
NBR2	631	436	366	621	412	399
LOC101929767	83	65	51	62	36	50
NBR1	23124	14684	14697	21120	14570	14559
TMEM106A	878	573	491	1727	919	1048
CCDC200	138	76	83	204	102	137
RNU2-1	0	0	0	0	0	0
LOC105371785	9	4	2	9	4	4
LINC00910	69	69	58	63	66	66
ARL4D	91	353	250	101	451	352
MIR2117HG	0	0	0	0	0	0
MIR2117	0	0	0	0	0	0
DHX8	10885	6251	6227	12166	7474	7537
ETV4	196	152	139	387	168	185
MEOX1	1	4	2	3	2	5
LINC02594	2	2	2	1	3	1
LOC107985085	0	1	0	0	0	0
SOST	0	1	2	0	2	0
DUSP3	14165	10851	9773	9691	9164	8790
CFAP97D1	0	6	3	3	6	2
MPP3	270	77	70	225	85	90
LOC107984979	1	1	0	0	1	2
CD300LG	3	4	1	1	1	5
LOC107985077	0	0	0	0	1	1
MPP2	22	12	16	33	10	12
LOC105371787	0	0	0	0	0	1
FAM215A	1	0	0	4	0	2
LOC107985086	0	0	0	0	1	5
LOC102724183	1	5	1	0	1	1
LINC01976	1	0	0	0	0	0
PPY	0	0	0	0	0	0
PYY	3	5	5	6	9	7
NAGS	215	238	310	561	422	485
TMEM101	3079	1919	1984	3095	2099	1997
LSM12	3718	1635	1506	4234	1831	1898
G6PC3	2654	1267	1212	2585	1242	1408
HDAC5	4898	3639	3639	3275	3076	3274
LOC105371789	16	18	10	9	9	5
HROB	396	215	239	571	221	289
ASB16	165	104	70	159	70	101
ASB16-AS1	360	197	172	319	185	212
TMUB2	4734	3288	3081	4629	3590	3626
ATXN7L3	7495	4521	4149	7850	4973	5407
ATXN7L3-AS1	203	109	91	161	129	124
UBTF	10525	8360	8085	8175	7095	7300
MIR6782	0	0	1	1	1	2
SLC4A1	0	3	1	1	5	2
LOC105371790	0	0	0	0	0	0
RUNDC3A-AS1	8	3	2	5	4	5
RUNDC3A	37	31	26	26	22	24
SLC25A39	6577	4782	4600	5411	4317	4527
GRN	51847	49592	40525	54738	43832	48509
FAM171A2	480	668	628	196	279	279
ITGA2B	54	125	131	35	76	77
GPATCH8	4879	2797	2606	4731	2558	3018
LOC105371791	0	0	0	0	0	0
FZD2	30	17	27	37	25	17
LINC01180	0	1	0	0	0	0
MEIOC	141	91	68	112	57	70
CCDC43	2963	1519	1581	3006	1585	1617
LOC105371792	197	129	121	209	129	131
DBF4B	795	335	333	1371	416	544
LOC107985044	35	8	8	56	17	24
ADAM11	22	13	16	22	14	20
GJC1	385	175	152	331	106	126
HIGD1B	39	32	18	36	20	28
EFTUD2	13844	6998	7308	15666	7552	7766
CCDC103	119	86	91	121	66	89
GFAP	39	23	18	30	22	25
FAM187A	10	4	6	9	5	5
LOC105371793	19	1	3	27	2	8
KIF18B	1646	284	455	2397	306	523
MIR6783	4	0	2	3	1	2
C1QL1	22	6	12	26	56	57
LOC107987243	3	1	1	7	5	2
DCAKD	3124	2011	2003	2668	1732	1839
NMT1	14417	8413	8264	19561	10818	11459
PLCD3	4050	2431	2511	1748	1468	1566
MIR6784	2	2	3	2	3	3
ACBD4	690	426	436	730	460	569
HEXIM1	1708	1308	1234	1622	911	1405
HEXIM2	559	376	343	390	304	320
HEXIM2-AS1	85	46	48	47	36	37
LOC105371795	92	75	95	98	80	83
FMNL1-DT	2	2	1	4	3	4
FMNL1	148	88	88	200	117	166
FMNL1-AS1	15	12	8	17	16	22
MAP3K14-AS1	77	40	37	143	79	89
SPATA32	7	1	3	28	7	6
MAP3K14	562	653	513	700	578	690
LOC105371796	8	0	1	7	6	6
ARHGAP27	5529	4106	3696	4057	3292	3562
PLEKHM1	5704	4609	4280	4919	3665	4179
MIR4315-1	124	97	77	119	67	73
LOC105369225	196	101	80	167	108	132
LRRC37A4P	2463	1434	1264	2865	1348	1517
LOC105376839	42	31	31	45	36	37
MAPK8IP1P2	57	55	24	51	41	69
LINC02210	1909	960	998	1558	926	1018
LINC02210-CRHR1	223	119	113	203	115	134
LOC105371802	0	0	1	1	0	1
LOC107985028	1	0	0	0	0	1
CRHR1	0	0	0	1	2	0
MAPT-AS1	1	2	1	0	0	1
SPPL2C	0	0	0	0	1	0
MAPT	77	36	36	71	41	34
MAPT-IT1	0	1	0	0	1	3
LOC105371800	0	5	0	0	2	2
STH	0	0	0	0	0	0
KANSL1	6712	4132	3673	6789	3925	4560
LOC107985027	795	406	247	737	351	486
KANSL1-AS1	638	435	437	498	356	385
ARL17B	783	466	413	664	398	505
LRRC37A	1754	1127	974	1487	947	1082
LOC107987254	224	149	118	180	133	144
NSFP1	694	364	393	1113	556	632
ARL17A	1975	1228	962	1631	1018	1238
LRRC37A2	2303	1609	1420	1908	1365	1560
FAM215B	201	135	104	167	122	128
NSF	7186	3610	3757	11437	5469	5860
WNT3	235	90	101	138	73	70
LOC101929777	0	0	1	0	2	1
WNT9B	1	1	4	1	3	2
LINC01974	1	0	0	0	0	0
LOC112268191	3	0	1	3	1	2
GOSR2	6117	4123	3753	6284	4433	4454
MIR5089	0	0	0	0	0	0
RPRML	0	1	1	0	4	1
LOC101927060	2023	1740	1541	1158	1069	1141
CDC27	21022	10358	10058	23470	11309	11546
MYL4	93	65	51	87	88	77
ITGB3	10731	32987	28217	9277	36394	34681
LOC107985029	14	38	21	20	41	49
EFCAB13-DT	74	202	167	49	178	183
EFCAB13	600	902	727	467	768	801
MRPL45P2	393	229	210	288	176	216
NPEPPS	12339	7455	6899	10245	6089	6333
KPNB1-DT	2540	1443	1454	2195	1301	1358
KPNB1	49848	27324	27939	62279	30832	32472
TBKBP1	1079	912	915	1142	924	951
TBX21	0	2	0	1	3	0
OSBPL7	1256	694	648	1368	771	878
MRPL10	3465	2761	2719	3233	2501	2530
LRRC46	152	79	85	180	90	111
SCRN2	2735	1304	1450	2551	1472	1758
SP6	170	73	84	290	160	179
SP2-DT	315	275	282	219	168	221
SP2	519	470	403	517	409	453
SP2-AS1	134	86	54	157	91	88
PNPO	3716	2485	2416	3717	2376	2466
PRR15L	28	21	15	20	14	18
CDK5RAP3	5419	3027	2723	4755	2738	3402
COPZ2	1343	712	703	1283	795	786
MIR10226	5	4	4	6	5	3
MIR152	5	0	0	4	4	0
NFE2L1	48342	40908	35819	51489	40842	41219
CBX1	9826	4809	4884	8834	4108	4213
SNX11	2180	1106	1106	3285	1717	1807
SKAP1	12	14	20	151	53	66
MIR1203	0	0	0	0	0	0
SKAP1-AS2	11	13	7	17	8	13
LOC101927166	0	2	2	0	0	0
LOC105371808	0	1	0	0	0	2
HOXB1	0	1	0	0	1	1
HOXB2	56	78	52	110	80	67
HOXB-AS1	138	96	96	159	116	127
HOXB3	3495	2185	1845	4455	2384	3100
HOXB4	790	433	432	1747	768	956
MIR10A	9	8	5	9	5	13
HOXB-AS3	400	242	199	587	250	354
HOXB5	169	125	101	267	106	190
HOXB6	999	566	688	1636	848	955
HOXB7	1361	1152	1225	1633	1467	1440
HOXB8	143	73	93	251	113	148
HOXB9	39	15	12	36	31	36
MIR196A1	0	0	0	0	0	0
LOC101060400	0	2	2	1	2	0
LINC02086	0	1	0	1	2	0
PRAC2	0	0	0	0	1	1
PRAC1	0	0	0	0	0	0
MIR3185	0	0	0	0	0	0
HOXB13	0	1	0	0	0	1
LOC105371811	0	1	1	0	1	1
LOC105371812	0	3	0	0	0	2
TTLL6	0	3	1	14	1	8
LOC105371813	0	2	0	0	0	0
CALCOCO2	9719	7771	7531	17664	11807	12272
LOC105371814	763	456	424	752	449	457
ATP5MC1	3386	1234	1539	4180	1654	1815
UBE2Z	15757	8511	8474	18950	10861	11799
SNF8	6003	3642	3819	5526	3383	3861
GIP	0	1	0	1	0	0
IGF2BP1	47	15	17	27	14	16
B4GALNT2	8	12	4	8	10	9
TRQ-TTG1-1	1	0	2	0	2	0
GNGT2	119	186	176	238	220	228
ABI3	725	1268	1240	1373	1838	1947
PHOSPHO1	44	96	77	70	127	132
LOC105371816	25	77	81	52	92	120
FLJ40194	0	0	0	0	0	3
MIR6129	2	0	0	3	0	2
ZNF652	7094	4609	3969	5910	4303	3936
ZNF652-AS1	41	26	23	28	18	21
PHB1	11662	5525	5919	14048	6470	6971
LINC02075	0	2	0	0	3	2
NGFR	2	2	1	6	4	2
NGFR-AS1	0	2	2	0	1	0
MIR6165	0	0	1	0	2	0
NXPH3	499	813	789	1498	1019	978
SPOP	6366	5329	5185	8005	6519	6835
LOC107984999	26	23	19	43	13	24
SLC35B1	5297	2757	2684	5544	2852	2991
FAM117A	2659	1848	1690	3774	1982	2117
KAT7	10065	9724	8922	11911	7900	8630
TAC4	91	94	69	101	58	80
FLJ45513	130	103	89	252	103	116
DLX4	0	1	1	9	4	3
DLX3	0	4	0	0	1	0
PICART1	191	90	68	126	62	69
ITGA3	32199	12428	12345	34845	12874	14853
PDK2	2095	1598	1529	1427	1204	1368
SAMD14	1137	864	802	811	848	890
PPP1R9B	6526	4328	4473	6832	4808	4882
LOC105371818	15	6	5	5	9	7
SGCA	0	7	0	0	2	0
H1-9P	0	0	0	0	0	0
COL1A1	9	30	40	23	33	24
LINC01969	0	0	0	0	0	0
LOC105371819	0	0	1	0	2	1
LOC105371822	0	11	4	90	48	63
TMEM92	5	23	18	92	66	118
TMEM92-AS1	1	0	1	5	4	3
XYLT2	2104	1221	1186	2392	1204	1434
MRPL27	3782	1791	1950	4778	2313	2436
EME1	1347	496	514	1841	540	595
LRRC59	17405	7761	8330	21842	8974	10175
ACSF2	887	602	643	845	605	643
CHAD	38	25	28	45	19	30
RSAD1	2837	1373	1442	2619	1445	1421
MYCBPAP	61	62	54	85	55	70
EPN3	39	27	20	46	20	21
LOC105371824	5	2	3	7	6	0
SPATA20	4992	2862	2953	4106	2592	2870
CACNA1G-AS1	4	7	6	6	3	2
CACNA1G	0	8	6	2	17	12
LOC101927253	0	0	1	0	0	0
ABCC3	267	91	116	559	146	250
ANKRD40	8489	4660	4642	9446	5413	5483
LUC7L3	12665	6846	5578	12082	7338	7572
ANKRD40CL	5	5	1	4	5	1
MIR8059	0	0	0	0	0	0
WFIKKN2	0	3	3	0	4	3
TOB1	1215	930	903	1174	885	895
TOB1-AS1	60	46	33	41	30	29
LOC105371825	1	0	0	1	1	1
SPAG9	33228	19697	17771	37827	28261	29087
NME1-NME2	22006	10395	11387	21548	10736	11473
NME1	6702	1716	2324	8761	2443	2951
NME2	19275	9678	10348	17947	9695	10267
MBTD1	2691	1773	1555	1934	1486	1514
UTP18	3000	1813	1849	3632	2147	2103
LINC02071	0	0	0	0	1	0
LINC02072	1	0	0	0	2	0
LINC02073	19	18	8	11	10	12
CA10	1	3	1	0	7	4
LOC105371829	0	0	1	0	0	0
LINC01982	3	2	4	24	8	9
LINC02089	0	0	0	0	0	0
LOC107984983	0	0	0	0	0	0
LINC02876	0	1	0	0	1	0
LOC107984982	0	0	0	0	0	0
KIF2B	0	0	0	0	1	0
LOC107985001	0	0	0	0	1	0
TOM1L1	199	102	81	135	94	82
COX11	4113	2448	2325	3768	2353	2540
STXBP4	2015	1122	1030	2335	1173	1233
LOC107985002	72	29	27	92	40	32
HLF	0	6	2	2	4	3
MMD	2351	908	816	2023	957	818
SMIM36	0	1	1	0	1	0
LOC105371833	0	1	0	0	1	1
LOC102724732	11	17	5	11	49	51
LOC101927389	3	4	3	1	6	2
TMEM100	1602	568	514	1156	1138	1107
PCTP	8075	2514	2804	8261	3281	3623
ANKFN1	1	11	5	1	12	4
LOC112268194	0	1	0	0	3	1
NOG	14	27	14	10	12	9
C17orf67	944	1331	1034	955	1065	1088
DGKE	4649	2862	2373	3470	2250	2294
MTVR2	11	8	4	47	27	35
TRIM25	12495	13034	12091	36291	21331	26117
MIR3614	134	144	158	399	261	311
COIL	2647	1405	1387	2307	1324	1375
LOC105371836	1	0	1	1	2	1
SCPEP1	4989	4007	3731	5266	4629	4563
RNF126P1	0	0	0	0	3	0
AKAP1	2679	2250	2069	2502	2032	2065
LOC101927510	3	4	7	4	4	3
MSI2	1763	1342	1143	997	960	1030
LOC101927557	0	3	1	2	1	3
LOC107984993	41	43	26	45	35	34
LOC101927539	10	9	1	12	8	7
CCDC182	0	0	0	0	0	0
MRPS23	3469	1907	1886	3792	1962	1955
CUEDC1	1761	1244	1235	1850	1215	1318
LOC107985065	29	24	11	27	24	25
VEZF1	7059	4420	4439	7967	5089	5010
LOC101929185	1749	887	675	1429	722	926
SRSF1	27257	11382	11412	27609	12190	12560
LOC105371840	0	4	0	0	5	4
DYNLL2-DT	4	7	1	0	6	6
DYNLL2	4796	3941	3677	4280	3228	3513
OR4D1	0	0	1	0	0	0
MSX2P1	0	0	1	0	1	2
OR4D2	0	1	0	0	1	0
EPX	8	6	2	4	4	5
MKS1	941	607	604	775	485	513
LOC105371841	4	6	4	1	0	4
LPO	0	4	4	0	5	1
MPO	1	8	5	0	4	0
TSPOAP1	1	3	4	0	12	4
TSPOAP1-AS1	705	548	527	676	519	538
MIR142	0	0	0	0	0	0
MIR4736	0	1	0	0	0	0
SUPT4H1	4217	2471	2465	4080	2518	2545
RNF43	30	26	23	27	24	16
HSF5	10	3	5	10	12	8
MTMR4	8120	4753	4376	7652	4196	4352
SEPTIN4-AS1	5	6	7	24	7	12
SEPTIN4	42	34	51	194	73	80
TEX14	15	15	17	31	16	23
LOC107985048	1	2	1	0	0	0
LOC105371842	0	2	0	0	0	0
RAD51C	1407	772	804	1606	758	736
LOC105371843	8	2	3	5	1	2
PPM1E	141	81	50	126	83	80
TRIM37	9549	4461	4489	8881	4688	4694
SKA2	5632	2214	2433	5688	2400	2540
MIR454	10	3	2	2	1	2
MIR301A	21	11	7	16	11	5
PRR11	6709	2257	3102	4657	1122	1478
SMG8	3421	1935	1859	3516	2103	2106
GDPD1	157	98	104	155	115	107
YPEL2	11959	5040	5001	10367	5597	5745
MIR4729	18	7	4	18	3	7
LINC01476	0	0	0	2	0	1
LOC105371845	3	1	0	1	0	1
LOC105371847	1	0	0	0	1	0
DHX40	7421	4260	4401	6104	4031	4080
CLTC	111306	59718	59343	94721	51065	52098
PTRH2	1420	950	935	1858	1224	1319
VMP1	23625	7578	7771	28791	13367	14242
MIR21	95	20	23	111	54	53
TUBD1	443	274	322	581	343	390
RPS6KB1	5709	3096	2968	5843	3503	3486
RNFT1	866	435	418	803	452	454
TBC1D3P1-DHX40P1	997	544	530	818	511	487
RNFT1-DT	306	201	181	266	184	186
LOC105371848	12	2	5	13	5	4
HEATR6	1911	971	1058	2345	1145	1227
MIR4737	11	4	6	15	7	7
HEATR6-DT	2	5	4	6	6	1
WFDC21P	10	3	0	5	4	5
LOC653653	1000	336	344	652	306	272
LOC100996660	345	294	216	241	227	275
CA4	1312	1266	1133	982	1010	973
USP32	12628	7161	6625	12276	8031	8395
SCARNA20	41	24	36	49	31	30
LOC105371850	0	0	0	0	0	0
CHCT1	2	7	4	3	2	4
APPBP2	11595	5559	5648	11351	6337	6378
LINC01999	0	0	0	0	0	0
PPM1D	10084	4708	4834	7672	4570	4671
BCAS3	2630	1862	1711	1768	1623	1669
LOC107984992	32	19	14	22	10	13
LOC101927855	3	1	1	1	1	0
TBX2-AS1	2	2	5	0	7	1
TBX2	1	3	4	0	2	6
LINC02875	9	7	5	6	7	7
TBX4	0	2	0	0	2	3
NACA2	79	84	73	81	86	79
BRIP1	1724	266	401	7546	1644	1893
INTS2	3106	1612	1507	3334	1727	1747
MED13	19205	10798	9531	21493	11737	11673
TBC1D3P2	17	12	11	14	11	10
LOC105371853	2	1	1	3	1	0
LOC105371936	0	0	0	0	0	0
EFCAB3	2	1	1	1	4	1
LOC105371854	0	0	0	0	0	0
METTL2A	1864	1193	1149	1648	1067	1094
LOC112268200	0	0	0	1	1	0
LOC112268201	21	9	14	13	7	6
TLK2	5302	2790	2848	7829	4039	4103
LOC112268202	36	37	22	65	46	55
LOC107985020	10	8	6	11	9	9
MRC2	2075	861	881	1482	672	783
MARCHF10	74	38	35	33	40	25
LOC105371855	28	14	12	9	9	12
MARCHF10-DT	1	0	1	0	0	1
MIR633	0	0	0	1	0	0
TANC2	14218	10240	8211	13674	10377	11231
LOC105371857	84	42	27	87	47	74
LOC105371856	255	122	102	226	133	170
LOC107983996	166	87	74	120	108	107
CYB561	2570	1712	1673	2175	1632	1674
ACE	6622	7858	6155	3283	4513	4901
KCNH6	49	41	38	20	30	17
DCAF7	25007	16487	15351	20285	14356	15041
TACO1	2080	1391	1329	2083	1289	1452
MAP3K3	16283	12953	11848	13237	11429	11753
LOC107984984	177	98	63	141	72	96
LOC101927898	208	102	74	165	88	104
LIMD2	4404	4566	4025	3610	4417	4221
LOC729683	491	376	401	387	399	344
STRADA	3362	3341	2843	3400	3020	3197
CCDC47	10244	7687	7272	10314	7772	7568
DDX42	12569	7117	6761	11604	6531	7182
FTSJ3	6977	4690	4746	8076	4876	5289
PSMC5	7171	3865	4097	7253	3216	3955
LOC107984986	139	83	92	114	73	80
SMARCD2	6483	3977	3892	7112	4239	4402
TCAM1P	2	1	0	1	4	2
CSH2	0	1	0	0	0	0
GH2	0	1	1	0	0	0
LOC107987248	1	1	1	0	1	0
CSH1	0	2	0	0	0	0
CSHL1	0	0	0	0	0	0
LOC112268204	0	0	0	0	1	0
GH1	0	0	0	1	1	0
CD79B	16	25	22	61	41	47
SCN4A	2	7	2	5	13	9
LOC105371858	0	4	0	1	6	1
PRR29-AS1	28	21	13	19	28	16
PRR29	8742	5512	5591	10027	6588	6964
ICAM2	14154	9247	9386	16682	11049	11598
ERN1	4218	5739	4933	4628	5249	5748
SNHG25	166	108	130	355	145	182
SNORD104	160	142	158	376	166	220
SNORA50C	315	129	203	511	187	182
TEX2	12656	8906	8146	14389	9405	9909
PECAM1	166893	145522	135068	151829	127676	151359
MILR1	128	58	70	158	81	82
POLG2	514	263	222	581	279	344
DDX5	94385	46813	41117	86065	47141	53670
MIR3064	2456	1018	730	1782	1065	1108
MIR5047	6055	2701	2212	4837	2951	3307
CEP95	3087	1719	1501	2727	1639	1759
SMURF2	13310	6489	6357	15989	7388	7460
ARHGAP27P1-BPTFP1-KPNA2P3	5878	2787	2334	5214	2281	2672
LOC101929240	1181	662	613	832	570	716
ARHGAP27P1	2141	1327	1183	1695	1156	1465
MIR6080	61	44	36	57	42	46
PLEKHM1P1	2151	1612	1403	1901	1467	1785
MIR4315-2	61	47	39	55	39	42
LOC105376844	180	108	69	137	73	100
LOC105371860	24	14	10	16	11	20
LRRC37A3	1809	1394	1138	1269	983	1143
LOC107985000	24	12	15	34	16	20
AMZ2P1	537	215	224	398	178	179
GNA13	14597	7692	7449	16387	9393	9317
LOC105371864	3	1	2	6	2	0
LOC100507002	50	28	35	53	25	27
RGS9	75	70	54	44	32	37
LINC02563	0	1	1	0	0	0
AXIN2	574	385	342	258	266	256
CEP112	2909	2264	2125	2915	2364	2514
LOC105371867	167	78	44	167	67	92
APOH	0	1	1	0	1	0
PRKCA	2503	3012	2653	1693	2299	2282
PRKCA-AS1	13	14	7	12	4	17
MIR634	0	2	3	1	6	1
CACNG5	0	7	0	1	10	5
CACNG4	0	0	0	1	1	2
CACNG1	1	1	3	0	1	3
HELZ	14136	7617	6700	11469	7124	6906
HELZ-AS1	9	10	10	12	12	17
PSMD12	5633	3203	3287	6113	3134	3522
PITPNC1	2261	2019	1824	1419	1713	1675
MIR548AA2	0	0	1	0	1	0
MIR548D2	0	0	1	0	1	0
LOC101928045	150	184	136	96	143	166
NOL11	4986	2273	2350	6098	2711	2640
SNORA38B	56	76	75	73	65	68
BPTF	16548	10511	9321	13835	8918	9179
C17orf58	2996	1546	1315	1763	978	964
TRR-CCG2-1	2	6	3	2	4	6
KPNA2	30636	7587	9442	37771	8818	10395
LINC00674	13752	9169	8844	8737	6968	7315
LOC105371871	22	6	9	10	12	12
LOC105371870	35	25	26	18	22	31
ARHGAP27P2	11	3	4	6	6	3
AMZ2	5180	2497	2674	4573	2455	2525
ARSG	2937	2020	1978	2558	1877	1923
SLC16A6	379	192	174	873	268	291
PRKAR1A	41465	29332	27419	31008	24340	24268
WIPI1	5359	3384	3313	4669	3389	3470
MIR635	62	59	52	46	38	47
FAM20A	20511	13077	12063	15145	11183	10671
LOC105371873	0	2	0	0	3	2
LINC01482	0	1	0	0	2	1
LOC105371877	1	2	0	1	0	0
LOC105371874	2	3	1	1	4	2
ABCA8	75	131	108	35	62	73
