GO_term	median_diff	p_value	statistic	p_adj	auroc
negative regulation of mononuclear cell migration	NA	NA	NA	NA	NA
negative regulation of mononuclear cell proliferation	NA	NA	NA	NA	NA
negative regulation of morphogenesis of an epithelium	NA	NA	NA	NA	NA
negative regulation of muscle cell apoptotic process	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
negative regulation of muscle cell differentiation	NA	NA	NA	NA	NA
negative regulation of muscle hypertrophy	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
negative regulation of myeloid cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of myeloid cell differentiation	NA	NA	NA	NA	NA
negative regulation of myeloid leukocyte differentiation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
negative regulation of myeloid leukocyte mediated immunity	NA	NA	NA	NA	NA
negative regulation of natural killer cell mediated cytotoxicity	NA	NA	NA	NA	NA
negative regulation of natural killer cell mediated immunity	NA	NA	NA	NA	NA
negative regulation of necroptotic process	NA	NA	NA	NA	NA
negative regulation of necrotic cell death	NA	NA	NA	NA	NA
negative regulation of nervous system development	0.94838581552593	0.0017507238377637317	127	0.11818953533984791	0.6902173913043478
negative regulation of neuroblast proliferation	NA	NA	NA	NA	NA
negative regulation of neurogenesis	0.9261959489021564	1.0596800827068939e-4	130.5	0.03237322652669561	0.7092391304347826
negative regulation of neuroinflammatory response	NA	NA	NA	NA	NA
negative regulation of neuron apoptotic process	NA	NA	NA	NA	NA
negative regulation of neuron differentiation	NA	NA	NA	NA	NA
negative regulation of neuron projection development	NA	NA	NA	NA	NA
negative regulation of neutrophil activation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of nuclear division	NA	NA	NA	NA	NA
negative regulation of oligodendrocyte differentiation	NA	NA	NA	NA	NA
negative regulation of organ growth	NA	NA	NA	NA	NA
negative regulation of organelle assembly	NA	NA	NA	NA	NA
negative regulation of ossification	NA	NA	NA	NA	NA
negative regulation of osteoblast differentiation	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
negative regulation of osteoblast proliferation	NA	NA	NA	NA	NA
negative regulation of osteoclast development	NA	NA	NA	NA	NA
negative regulation of osteoclast differentiation	NA	NA	NA	NA	NA
negative regulation of oxidative stress-induced cell death	NA	NA	NA	NA	NA
negative regulation of oxidative stress-induced neuron death	NA	NA	NA	NA	NA
negative regulation of oxidoreductase activity	NA	NA	NA	NA	NA
negative regulation of p38MAPK cascade	NA	NA	NA	NA	NA
negative regulation of peptidase activity	0	0.7735747375636892	91.5	0.8893027267469643	0.49728260869565216
negative regulation of peptidyl-serine phosphorylation	NA	NA	NA	NA	NA
negative regulation of peptidyl-tyrosine phosphorylation	NA	NA	NA	NA	NA
negative regulation of phagocytosis	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
negative regulation of plasminogen activation	NA	NA	NA	NA	NA
negative regulation of platelet activation	NA	NA	NA	NA	NA
negative regulation of platelet-derived growth factor receptor signaling pathway	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
negative regulation of production of molecular mediator of immune response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
negative regulation of programmed necrotic cell death	NA	NA	NA	NA	NA
negative regulation of protein binding	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of protein catabolic process	NA	NA	NA	NA	NA
negative regulation of protein kinase B signaling	NA	NA	NA	NA	NA
negative regulation of protein kinase activity	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
negative regulation of protein localization	NA	NA	NA	NA	NA
negative regulation of protein localization to cell periphery	NA	NA	NA	NA	NA
negative regulation of protein localization to membrane	NA	NA	NA	NA	NA
negative regulation of protein localization to plasma membrane	NA	NA	NA	NA	NA
negative regulation of protein maturation	NA	NA	NA	NA	NA
negative regulation of protein modification by small protein conjugation or removal	NA	NA	NA	NA	NA
negative regulation of protein polymerization	NA	NA	NA	NA	NA
negative regulation of protein processing	NA	NA	NA	NA	NA
negative regulation of protein secretion	NA	NA	NA	NA	NA
negative regulation of protein serine/threonine kinase activity	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
negative regulation of protein transport	NA	NA	NA	NA	NA
negative regulation of protein ubiquitination	NA	NA	NA	NA	NA
negative regulation of protein-containing complex assembly	NA	NA	NA	NA	NA
negative regulation of receptor internalization	NA	NA	NA	NA	NA
negative regulation of receptor signaling pathway via JAK-STAT	NA	NA	NA	NA	NA
negative regulation of receptor signaling pathway via STAT	NA	NA	NA	NA	NA
negative regulation of receptor-mediated endocytosis	NA	NA	NA	NA	NA
negative regulation of regulated secretory pathway	NA	NA	NA	NA	NA
negative regulation of regulatory T cell differentiation	NA	NA	NA	NA	NA
negative regulation of response to DNA damage stimulus	NA	NA	NA	NA	NA
negative regulation of response to biotic stimulus	-0.3146013270136945	0.13186118583815212	54.5	0.62571222592143	0.296195652173913
negative regulation of response to cytokine stimulus	0	0.28568471375606275	64.5	0.7828641239227586	0.35054347826086957
negative regulation of response to endoplasmic reticulum stress	NA	NA	NA	NA	NA
negative regulation of response to oxidative stress	NA	NA	NA	NA	NA
negative regulation of response to reactive oxygen species	NA	NA	NA	NA	NA
negative regulation of response to tumor cell	NA	NA	NA	NA	NA
negative regulation of response to type II interferon	NA	NA	NA	NA	NA
negative regulation of response to wounding	NA	NA	NA	NA	NA
negative regulation of secretion	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
negative regulation of secretion by cell	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of sequestering of calcium ion	NA	NA	NA	NA	NA
negative regulation of signal transduction by p53 class mediator	NA	NA	NA	NA	NA
negative regulation of signal transduction in absence of ligand	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	NA	NA	NA	NA	NA
negative regulation of sister chromatid segregation	NA	NA	NA	NA	NA
negative regulation of smooth muscle cell proliferation	NA	NA	NA	NA	NA
negative regulation of sodium ion transmembrane transport	NA	NA	NA	NA	NA
negative regulation of sodium ion transmembrane transporter activity	NA	NA	NA	NA	NA
negative regulation of sodium ion transport	NA	NA	NA	NA	NA
negative regulation of stem cell differentiation	NA	NA	NA	NA	NA
negative regulation of stem cell proliferation	NA	NA	NA	NA	NA
negative regulation of steroid biosynthetic process	NA	NA	NA	NA	NA
negative regulation of steroid metabolic process	NA	NA	NA	NA	NA
negative regulation of stress-activated MAPK cascade	NA	NA	NA	NA	NA
negative regulation of stress-activated protein kinase signaling cascade	NA	NA	NA	NA	NA
negative regulation of striated muscle cell differentiation	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
negative regulation of supramolecular fiber organization	NA	NA	NA	NA	NA
negative regulation of tissue remodeling	NA	NA	NA	NA	NA
negative regulation of toll-like receptor 2 signaling pathway	NA	NA	NA	NA	NA
negative regulation of toll-like receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of transcription regulatory region DNA binding	NA	NA	NA	NA	NA
negative regulation of transforming growth factor beta receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of translation	NA	NA	NA	NA	NA
negative regulation of translational elongation	NA	NA	NA	NA	NA
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	NA	NA	NA	NA	NA
negative regulation of transmembrane transport	NA	NA	NA	NA	NA
negative regulation of transporter activity	NA	NA	NA	NA	NA
negative regulation of transposition	NA	NA	NA	NA	NA
negative regulation of tumor necrosis factor production	NA	NA	NA	NA	NA
negative regulation of tumor necrosis factor superfamily cytokine production	NA	NA	NA	NA	NA
negative regulation of type I interferon production	NA	NA	NA	NA	NA
negative regulation of type I interferon-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of type II interferon production	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
negative regulation of type II interferon-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of tyrosine phosphorylation of STAT protein	NA	NA	NA	NA	NA
negative regulation of vascular endothelial cell proliferation	NA	NA	NA	NA	NA
negative regulation of vascular endothelial growth factor receptor signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of vascular permeability	NA	NA	NA	NA	NA
negative regulation of vasculature development	NA	NA	NA	NA	NA
negative regulation of vasoconstriction	NA	NA	NA	NA	NA
negative regulation of viral entry into host cell	NA	NA	NA	NA	NA
negative regulation of viral genome replication	NA	NA	NA	NA	NA
negative regulation of viral life cycle	NA	NA	NA	NA	NA
negative regulation of viral process	NA	NA	NA	NA	NA
negative regulation of viral transcription	NA	NA	NA	NA	NA
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of vitamin D biosynthetic process	NA	NA	NA	NA	NA
negative regulation of vitamin metabolic process	NA	NA	NA	NA	NA
negative regulation of voltage-gated calcium channel activity	NA	NA	NA	NA	NA
negative regulation of wound healing	NA	NA	NA	NA	NA
negative thymic T cell selection	NA	NA	NA	NA	NA
nephron development	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
nephron epithelium development	NA	NA	NA	NA	NA
nephron epithelium morphogenesis	NA	NA	NA	NA	NA
nephron morphogenesis	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
nephron tubule development	NA	NA	NA	NA	NA
nerve development	NA	NA	NA	NA	NA
neural crest cell development	NA	NA	NA	NA	NA
neural crest cell differentiation	NA	NA	NA	NA	NA
neural crest cell migration	NA	NA	NA	NA	NA
neural crest formation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
neural precursor cell proliferation	NA	NA	NA	NA	NA
neuroblast proliferation	NA	NA	NA	NA	NA
neuroendocrine cell differentiation	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
neuroinflammatory response	2.349064791628652	0.030808563884940444	132	0.2715825492407569	0.717391304347826
neuron cellular homeostasis	0	0.9203625545416256	89	0.9662360726649782	0.483695652173913
neuron death in response to oxidative stress	NA	NA	NA	NA	NA
neuron fate commitment	NA	NA	NA	NA	NA
neuron intrinsic apoptotic signaling pathway in response to oxidative stress	NA	NA	NA	NA	NA
neuron migration	NA	NA	NA	NA	NA
neuron projection arborization	NA	NA	NA	NA	NA
neuron projection extension	NA	NA	NA	NA	NA
neuron projection extension involved in neuron projection guidance	NA	NA	NA	NA	NA
neuron projection organization	NA	NA	NA	NA	NA
neuron projection regeneration	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
neuron remodeling	NA	NA	NA	NA	NA
neurotransmitter reuptake	NA	NA	NA	NA	NA
neurotransmitter secretion	NA	NA	NA	NA	NA
neurotransmitter uptake	NA	NA	NA	NA	NA
neurotrophin TRK receptor signaling pathway	NA	NA	NA	NA	NA
neurotrophin signaling pathway	NA	NA	NA	NA	NA
neutral lipid biosynthetic process	NA	NA	NA	NA	NA
neutrophil activation	NA	NA	NA	NA	NA
neutrophil activation involved in immune response	NA	NA	NA	NA	NA
neutrophil chemotaxis	NA	NA	NA	NA	NA
neutrophil degranulation	NA	NA	NA	NA	NA
neutrophil extravasation	NA	NA	NA	NA	NA
neutrophil homeostasis	NA	NA	NA	NA	NA
neutrophil mediated cytotoxicity	NA	NA	NA	NA	NA
neutrophil mediated immunity	NA	NA	NA	NA	NA
neutrophil migration	-0.9926946846472288	0.017410445644976437	36	0.2715825492407569	0.1956521739130435
neutrophil-mediated killing of bacterium	NA	NA	NA	NA	NA
neutrophil-mediated killing of symbiont cell	NA	NA	NA	NA	NA
nicotinamide nucleotide biosynthetic process	NA	NA	NA	NA	NA
nicotinamide nucleotide metabolic process	NA	NA	NA	NA	NA
nitric oxide biosynthetic process	0	1	86.5	1	0.4701086956521739
nitric oxide mediated signal transduction	NA	NA	NA	NA	NA
nitric oxide metabolic process	0	1	86.5	1	0.4701086956521739
nitric oxide transport	NA	NA	NA	NA	NA
nitric-oxide synthase biosynthetic process	NA	NA	NA	NA	NA
non-canonical Wnt signaling pathway via JNK cascade	NA	NA	NA	NA	NA
non-lytic viral release	NA	NA	NA	NA	NA
nonribosomal peptide biosynthetic process	NA	NA	NA	NA	NA
norepinephrine metabolic process	NA	NA	NA	NA	NA
nose development	NA	NA	NA	NA	NA
nuclear DNA replication	NA	NA	NA	NA	NA
nuclear body organization	NA	NA	NA	NA	NA
nuclear cell cycle DNA replication initiation	NA	NA	NA	NA	NA
nuclear envelope organization	NA	NA	NA	NA	NA
nuclear export	NA	NA	NA	NA	NA
nuclear membrane organization	NA	NA	NA	NA	NA
nuclear membrane reassembly	NA	NA	NA	NA	NA
nuclear pore complex assembly	NA	NA	NA	NA	NA
nuclear pore organization	NA	NA	NA	NA	NA
nuclear-transcribed mRNA catabolic process	NA	NA	NA	NA	NA
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	NA	NA	NA	NA	NA
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	NA	NA	NA	NA	NA
nucleic acid transport	NA	NA	NA	NA	NA
nucleobase-containing small molecule catabolic process	NA	NA	NA	NA	NA
nucleoside catabolic process	NA	NA	NA	NA	NA
nucleoside diphosphate metabolic process	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
nucleoside diphosphate phosphorylation	NA	NA	NA	NA	NA
nucleoside metabolic process	NA	NA	NA	NA	NA
nucleoside monophosphate biosynthetic process	NA	NA	NA	NA	NA
nucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
nucleoside monophosphate metabolic process	NA	NA	NA	NA	NA
nucleoside triphosphate biosynthetic process	NA	NA	NA	NA	NA
nucleosome disassembly	NA	NA	NA	NA	NA
nucleosome organization	NA	NA	NA	NA	NA
nucleotide phosphorylation	NA	NA	NA	NA	NA
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	NA	NA	NA	NA	NA
nucleotide-binding oligomerization domain containing 1 signaling pathway	NA	NA	NA	NA	NA
nucleotide-binding oligomerization domain containing 2 signaling pathway	NA	NA	NA	NA	NA
nucleotide-binding oligomerization domain containing signaling pathway	NA	NA	NA	NA	NA
nucleus organization	NA	NA	NA	NA	NA
odontogenesis	NA	NA	NA	NA	NA
odontogenesis of dentin-containing tooth	NA	NA	NA	NA	NA
oligodendrocyte differentiation	NA	NA	NA	NA	NA
oligopeptide import across plasma membrane	NA	NA	NA	NA	NA
oligosaccharide catabolic process	NA	NA	NA	NA	NA
oncostatin-M-mediated signaling pathway	NA	NA	NA	NA	NA
one-carbon compound transport	NA	NA	NA	NA	NA
optic cup morphogenesis involved in camera-type eye development	NA	NA	NA	NA	NA
organ growth	NA	NA	NA	NA	NA
organ or tissue specific immune response	NA	NA	NA	NA	NA
organelle disassembly	NA	NA	NA	NA	NA
organelle fusion	NA	NA	NA	NA	NA
organelle inheritance	NA	NA	NA	NA	NA
organelle localization by membrane tethering	NA	NA	NA	NA	NA
organelle membrane fusion	NA	NA	NA	NA	NA
organelle transport along microtubule	NA	NA	NA	NA	NA
osmosensory signaling pathway	NA	NA	NA	NA	NA
osteoblast proliferation	NA	NA	NA	NA	NA
osteoclast development	NA	NA	NA	NA	NA
osteoclast differentiation	0	0.8291936739835751	90.5	0.9417050832787442	0.49184782608695654
osteoclast proliferation	NA	NA	NA	NA	NA
outflow tract morphogenesis	0	0.41715819861414843	96.5	0.8017867405900627	0.5244565217391305
ovarian follicle development	NA	NA	NA	NA	NA
ovulation	NA	NA	NA	NA	NA
oxygen transport	NA	NA	NA	NA	NA
p38MAPK cascade	0	0.4489423170138533	71.5	0.8044098407491623	0.38858695652173914
pallium development	NA	NA	NA	NA	NA
pancreas development	NA	NA	NA	NA	NA
pancreatic A cell differentiation	NA	NA	NA	NA	NA
paracrine signaling	NA	NA	NA	NA	NA
parasympathetic nervous system development	NA	NA	NA	NA	NA
parturition	NA	NA	NA	NA	NA
pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
peptide antigen assembly with MHC class II protein complex	NA	NA	NA	NA	NA
peptide antigen assembly with MHC protein complex	NA	NA	NA	NA	NA
peptide catabolic process	NA	NA	NA	NA	NA
peptide hormone processing	NA	NA	NA	NA	NA
peptidyl-lysine acetylation	NA	NA	NA	NA	NA
peptidyl-lysine methylation	NA	NA	NA	NA	NA
peptidyl-serine autophosphorylation	NA	NA	NA	NA	NA
peptidyl-serine dephosphorylation	NA	NA	NA	NA	NA
peptidyl-threonine dephosphorylation	NA	NA	NA	NA	NA
peptidyl-threonine modification	NA	NA	NA	NA	NA
peptidyl-threonine phosphorylation	NA	NA	NA	NA	NA
peptidyl-tyrosine autophosphorylation	NA	NA	NA	NA	NA
peptidyl-tyrosine dephosphorylation	NA	NA	NA	NA	NA
