Description	dn_aggregated_RNAseq_0.8	dn_aggregated_RNAseq_DE	dn_aggregated_RNAseq	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood
intrinsic apoptotic signaling pathway in response to DNA damage	0.041237113402061855	0.013134328358208954	0.061855670103092786	NA	NA	NA	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.02577319587628866	NA	0.041237113402061855	NA	NA	NA	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	0.030927835051546393	0.011343283582089553	0.041237113402061855	NA	NA	NA	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to osmotic stress	0.010309278350515464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to oxidative stress	0.02577319587628866	NA	0.030927835051546393	NA	NA	NA	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iron import into cell	NA	0.0029850746268656717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iron ion transmembrane transport	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iron ion transport	NA	0.008955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iron-sulfur cluster assembly	NA	NA	NA	0.0031498425078746064	0.0031498425078746064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0036985668053629217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00323670137911624	NA	NA
ISG15-protein conjugation	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
isoleucine transport	NA	0.001791044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
isoprenoid biosynthetic process	NA	0.004776119402985075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JNK cascade	0.041237113402061855	0.0191044776119403	0.061855670103092786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
keratinocyte differentiation	0.030927835051546393	0.014328358208955224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
keratinocyte proliferation	NA	0.007761194029850746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kidney epithelium development	NA	0.015522388059701492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kidney morphogenesis	NA	0.010746268656716417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kidney vasculature development	0.015463917525773196	NA	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
killing of cells of another organism	NA	0.011940298507462687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kinetochore assembly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019973368841544607	0.0019973368841544607	NA	NA	NA	NA	NA	NA
kinetochore organization	NA	NA	NA	0.0025498725063746812	0.0025498725063746812	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0025887010811633925	NA	NA	NA	NA	NA	NA	0.0026169447170428526	NA	NA	0.002529960053262317	0.002529960053262317	NA	NA	NA	NA	NA	NA
kynurenine metabolic process	NA	0.0029850746268656717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-amino acid biosynthetic process	NA	NA	NA	0.005249737513124344	0.005249737513124344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005393743257820928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-amino acid metabolic process	NA	NA	NA	0.0143992800359982	0.0143992800359982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014618547281863865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-leucine import across plasma membrane	NA	0.001791044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-serine metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017391304347826088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lamellipodium morphogenesis	NA	0.003582089552238806	0.020618556701030927	NA	NA	NA	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
late endosome to lysosome transport	NA	NA	NA	NA	NA	NA	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
late endosome to vacuole transport	NA	NA	NA	NA	NA	NA	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	NA	NA	NA	NA	NA	NA	0.0036985668053629217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
learning	0.04639175257731959	NA	0.05154639175257732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lens fiber cell differentiation	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leucine import across plasma membrane	NA	0.001791044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte activation involved in inflammatory response	NA	0.010149253731343283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte adhesion to vascular endothelial cell	NA	0.00955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte aggregation	NA	0.003582089552238806	0.020618556701030927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte apoptotic process	0.030927835051546393	0.02447761194029851	0.05154639175257732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte chemotaxis involved in inflammatory response	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte degranulation	NA	0.010746268656716417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte homeostasis	0.030927835051546393	0.020298507462686566	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte mediated cytotoxicity	NA	0.020298507462686566	NA	NA	NA	NA	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte migration involved in inflammatory response	NA	0.00417910447761194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leukocyte tethering or rolling	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipid export from cell	0.020618556701030927	0.00835820895522388	0.030927835051546393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipid modification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015968379446640316	NA	NA	NA	NA	0.015102481121898598	NA	0.01677566107477964	NA	NA	NA	NA	NA	0.015492755702194808	0.015492755702194808	NA	0.014635519279482128	NA	NA
lipid oxidation	NA	NA	NA	0.009299535023248838	0.009299535023248838	NA	NA	NA	NA	NA	NA	NA	NA	0.011541501976284585	NA	0.009721806760394854	NA	0.010592519033432638	0.009554630913854214	0.00985499084893707	0.010235996588001138	NA	NA	NA	NA	NA	0.009754698034715249	0.009754698034715249	NA	0.009428651843512525	NA	NA
lipid storage	0.030927835051546393	0.01373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipopolysaccharide-mediated signaling pathway	0.030927835051546393	0.013134328358208954	0.041237113402061855	NA	NA	NA	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipoprotein catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002157497303128371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
liver development	0.030927835051546393	0.01671641791044776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
liver morphogenesis	NA	0.005970149253731343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
long-chain fatty acid import across plasma membrane	NA	NA	NA	NA	NA	NA	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
long-chain fatty-acyl-CoA biosynthetic process	NA	NA	NA	NA	NA	NA	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	0.0029752066115702478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
long-term synaptic potentiation	0.03608247422680412	NA	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lung development	NA	0.0191044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphocyte apoptotic process	0.02577319587628866	0.015522388059701492	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphocyte chemotaxis	NA	0.015522388059701492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphocyte costimulation	NA	0.010746268656716417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphocyte homeostasis	0.030927835051546393	0.011940298507462687	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphocyte migration	NA	0.02208955223880597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lymphoid progenitor cell differentiation	NA	NA	0.020618556701030927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosomal lumen acidification	NA	NA	NA	NA	NA	NA	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	NA	NA	NA	NA	NA	NA	0.0033903529049160116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosomal membrane organization	NA	NA	NA	NA	NA	NA	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosomal protein catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024657112035752814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosomal transport	NA	NA	NA	NA	NA	NA	0.016859504132231404	0.016859504132231404	0.016859504132231404	0.016859504132231404	0.016859504132231404	0.016859504132231404	NA	NA	NA	NA	NA	NA	0.013407304669440592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosome localization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008013561411619664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lysosome organization	NA	NA	NA	NA	NA	NA	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	NA	0.009644268774703557	NA	NA	NA	NA	0.012944983818770227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lytic vacuole organization	NA	NA	NA	NA	NA	NA	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	0.01652892561983471	NA	0.009644268774703557	NA	NA	NA	NA	0.012944983818770227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macromolecule methylation	NA	NA	NA	0.011699415029248537	0.011699415029248537	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0109639104613979	NA	NA	NA	NA	NA	NA	NA	0.011305518169582772	NA	NA	NA	NA	NA	NA	0.01294680551646496	NA	NA
macrophage activation	0.030927835051546393	0.020895522388059702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage activation involved in immune response	NA	0.004776119402985075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage chemotaxis	NA	0.00835820895522388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage colony-stimulating factor signaling pathway	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage cytokine production	0.020618556701030927	0.008955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage derived foam cell differentiation	NA	0.007761194029850746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage differentiation	0.030927835051546393	0.01253731343283582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage migration	NA	0.010746268656716417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maintenance of protein localization in organelle	NA	NA	NA	NA	NA	NA	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maintenance of protein location	NA	NA	NA	0.008099595020248988	0.008099595020248988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maintenance of protein location in cell	NA	NA	NA	0.006149692515374231	0.006149692515374231	NA	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maintenance of protein location in nucleus	NA	NA	NA	NA	NA	NA	0.004297520661157025	0.004297520661157025	0.004297520661157025	0.004297520661157025	0.004297520661157025	0.004297520661157025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mammary gland alveolus development	0.020618556701030927	0.004776119402985075	0.020618556701030927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mammary gland development	0.03608247422680412	0.015522388059701492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mammary gland epithelium development	0.020618556701030927	0.008955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mammary gland lobule development	0.020618556701030927	0.004776119402985075	0.020618556701030927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mast cell activation	NA	0.011343283582089553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maternal placenta development	NA	0.005970149253731343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maternal process involved in female pregnancy	NA	0.008955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maternal process involved in parturition	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maturation of 5.8S rRNA	NA	NA	NA	0.004349782510874456	0.004349782510874456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037996059667886294	NA	NA
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	0.002999850007499625	0.002999850007499625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00267379679144385	NA	NA
maturation of LSU-rRNA	NA	NA	NA	0.0032998350082495873	0.0032998350082495873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	0.0020998950052497373	0.0020998950052497373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maturation of SSU-rRNA	NA	NA	NA	0.00599970001499925	0.00599970001499925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005518169582772544	NA	NA	NA	NA	NA	NA	0.005769772023641992	NA	NA
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	0.0038998050097495125	0.0038998050097495125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0036339165545087484	NA	NA	NA	NA	NA	NA	0.0035181536729524347	NA	NA
mature B cell differentiation	NA	0.007761194029850746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mature B cell differentiation involved in immune response	NA	0.007164179104477612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDA-5 signaling pathway	NA	0.0029850746268656717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiosis I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0109639104613979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiosis I cell cycle process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011725293132328308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiotic chromosome segregation	NA	NA	NA	0.008849557522123894	0.008849557522123894	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008527485914420587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiotic nuclear division	NA	NA	NA	0.014999250037498125	0.014999250037498125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01583675955535252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiotic spindle assembly	NA	NA	NA	0.0019499025048747563	0.0019499025048747563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiotic spindle organization	NA	NA	NA	0.0026998650067496625	0.0026998650067496625	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002740977615349475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
melanosome assembly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024657112035752814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
